City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,terrace,54.5163,-128.6035,295.1,40,75,5.66,CA,1686371030
84,taltal,-25.4,-70.4833,288.72,83,10,1.04,CL,1686370820
85,puerto aysen,-45.4,-72.7,275.14,98,99,1.25,CL,1686371030
86,flying fish cove,-10.4217,105.6791,299.97,78,75,5.66,CX,1686371030
87,sambava,-14.2667,50.1667,296.78,78,98,3.52,MG,1686371031
88,west island,-12.1568,96.8225,300.14,74,40,9.95,CC,1686371031
89,port mathurin,-19.6833,63.4167,297.71,71,11,7.86,MU,1686371031
90,iskateley,67.6803,53.1512,276.02,87,100,9.42,RU,1686371031
91,tokar,18.4254,37.729,305.39,42,65,3.55,SD,1686371031
92,fort mcmurray,56.7268,-111.381,292.88,55,0,3.09,CA,1686371031
93,ghat,24.9647,10.1728,302.7,24,0,3.51,LY,1686371032
94,wailua homesteads,22.0669,-159.378,297.85,81,20,6.17,US,1686371032
95,krasnoarmeysk,51.0239,45.6969,292.74,62,40,1.25,RU,1686371032
96,ceeldheer,3.8488,47.1806,299.15,85,82,7.75,SO,1686371032
97,lebu,-37.6167,-73.65,283.16,67,87,4.76,CL,1686371032
98,beni,0.5,29.4667,288.98,99,92,0.73,CD,1686371032
99,nis,43.7031,7.2661,291.89,77,20,4.12,FR,1686371033
100,stephenville,32.2207,-98.2023,299.67,69,40,2.57,US,1686371033
101,kapuskasing,49.4169,-82.4331,292.15,48,100,3.6,CA,1686370802
102,talnakh,69.4865,88.3972,277.71,49,95,5.48,RU,1686371033
103,kalmunai,7.4167,81.8167,303.53,62,98,1.52,LK,1686371033
104,tadine,-21.55,167.8833,295.74,55,51,5.08,NC,1686371034
105,nadi,-17.8,177.4167,300.15,61,20,5.14,FJ,1686371034
106,georgetown,5.4112,100.3354,305.06,70,20,5.14,MY,1686371034
107,margaret river,-33.95,115.0667,290.42,72,33,8.09,AU,1686371035
108,luena,-11.7833,19.9167,290.25,72,15,2.57,AO,1686371036
109,hermanus,-34.4187,19.2345,286.21,82,5,2.36,ZA,1686371036
110,cockburn town,21.4612,-71.1419,301.52,83,78,5.65,TC,1686371036
111,rongelap,11.1635,166.8941,301.25,79,32,6.49,MH,1686371036
112,laojunmiao,39.8333,97.7333,299.16,12,94,4.19,CN,1686371036
113,invercargill,-46.4,168.35,280.52,74,0,1.55,NZ,1686371036
114,chonchi,-42.6128,-73.8092,278.22,84,26,2.95,CL,1686371037
115,isafjordur,66.0755,-23.124,277.05,78,75,2.2,IS,1686371037
116,najaf,31.9985,44.3398,307.52,20,22,3.75,IQ,1686371037
117,pacov,49.4708,15.0017,286.19,94,100,1.78,CZ,1686371037
118,anna regina,7.2644,-58.5077,299.41,85,92,2.98,GY,1686371037
119,olonkinbyen,70.9221,-8.7187,275.97,96,100,9.28,SJ,1686371038
120,vadso,70.0744,29.7487,279.24,65,66,4.63,NO,1686371038
121,kourou,5.1552,-52.6478,297.18,90,49,1.97,GF,1686371038
122,tura,25.5198,90.2201,300.24,83,92,0.56,IN,1686371038
123,pisco,-13.7,-76.2167,293.18,77,100,3.09,PE,1686371013
124,fada,9.5667,8.3,292.87,97,42,0.07,NG,1686371038
125,thana bhawan,29.5864,77.4167,311.59,23,0,2.93,IN,1686371038
126,cambria,35.5641,-121.0808,287.4,91,100,3.26,US,1686371039
127,hammerfest,70.6634,23.6821,278.4,75,100,3.09,NO,1686371039
128,bilibino,68.0546,166.4372,294.09,28,92,1.07,RU,1686371039
129,port macquarie,-31.4333,152.9167,294.2,50,0,2.92,AU,1686370916
130,happy valley-goose bay,53.3168,-60.3315,281.32,87,75,1.03,CA,1686371040
131,arfoud,31.4348,-4.2375,297.47,46,0,5.92,MA,1686371040
132,torghay,49.6339,63.4981,296.75,36,56,1.42,KZ,1686371040
133,saipan,15.1355,145.701,302.95,100,20,5.66,MP,1686371040
134,el kala,36.8956,8.4433,293.38,95,100,1.18,DZ,1686371040
135,tabou,4.423,-7.3528,298.4,87,54,2.77,CI,1686371040
136,atlantic,39.4668,-74.6663,288.34,84,100,2.06,US,1686371041
137,mubi,10.2676,13.2644,295.82,84,100,2.13,NG,1686371041
138,bamboo flat,11.7,92.7167,303.2,70,75,4.12,IN,1686371041
139,hanamaki,39.3833,141.1167,298.26,61,75,2.06,JP,1686371041
140,mo i rana,66.3128,14.1428,281.66,77,73,0.0,NO,1686371042
